study,dataset,variable,instrument,question,item
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0400f","wid1_F2F1_module1","fpr0400f",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0400m","wid1_F2F1_module1","fpr0400m",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0401f","wid1_F2F1_module1","fpr0401f",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0401m","wid1_F2F1_module1","fpr0401m",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0403f","wid1_F2F1_module1","fpr0403f",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0403m","wid1_F2F1_module1","fpr0403m",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0404f","wid1_F2F1_module1","fpr0404f",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0404m","wid1_F2F1_module1","fpr0404m",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0405f","wid1_F2F1_module1","fpr0405f",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0405m","wid1_F2F1_module1","fpr0405m",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0406f","wid1_F2F1_module1","fpr0406f",1
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0406m","wid1_F2F1_module1","fpr0406m",1
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0100s","wid1_F2F1_module10","bdy0100s",1
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0200s","wid1_F2F1_module10","bdy0200s",1
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0200t","wid1_F2F1_module10","bdy0200t",1
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0200u","wid1_F2F1_module10","bdy0200u",1
"twinlife","ZA6701_person_wid1_v4-0-0","com0100s","wid1_F2F1_module10","com0100s",1
"twinlife","ZA6701_person_wid1_v4-0-0","com0100t","wid1_F2F1_module10","com0100t",1
"twinlife","ZA6701_person_wid1_v4-0-0","com0100u","wid1_F2F1_module10","com0100u",1
"twinlife","ZA6701_person_wid1_v4-0-0","com0200s","wid1_F2F1_module10","com0100s",2
