study,instrument,answer_list,value,label,label_de
"twinlife","cov1_CoV_module1","agr7",1,"1: I do not agree at all","1: ich stimme ueberhaupt nicht zu"
"twinlife","cov1_CoV_module1","agr7",7,"7: I agree completely","7: ich stimme voll und ganz zu"
"twinlife","cov1_CoV_module1","apl5_2",1,"1: not correct at all","1: stimmt ueberhaupt nicht"
"twinlife","cov1_CoV_module1","apl5_2",2,"2: rather not correct","2: stimmt eher nicht"
"twinlife","cov1_CoV_module1","apl5_2",3,"3: partly correct","3: stimmt etwas"
"twinlife","cov1_CoV_module1","apl5_2",4,"4: rather correct","4: stimmt eher"
"twinlife","cov1_CoV_module1","apl5_2",5,"5: fully correct","5: stimmt genau"
"twinlife","cov1_CoV_module1","apl7_1",1,"1: doesn't apply at all","1: trifft ueberhaupt nicht zu"
"twinlife","cov1_CoV_module1","apl7_1",7,"7: applies completely","7: trifft voll und ganz zu"
"twinlife","cov1_CoV_module1","compl",0,"0: interview incomplete","0: Interview unvollstaendig"
"twinlife","cov1_CoV_module1","compl",1,"1: interview complete","1: Interview vollstaendig"
"twinlife","cov1_CoV_module1","cor0101",1,"1: yes","1: Ja"
"twinlife","cov1_CoV_module1","cor0101",2,"2: no, nobody","2: Nein, niemand"
"twinlife","cov1_CoV_module1","cor0300",-81,"-81: does not apply","-81: Trifft nicht zu"
"twinlife","cov1_CoV_module1","cor0300",1,"1: yes","1: Ja"
"twinlife","cov1_CoV_module1","cor0300",2,"2: no","2: Nein"
"twinlife","cov1_CoV_module1","cor0400",-82,"-82: I do not work from home","-82: Ich arbeite nicht im Homeoffice"
"twinlife","cov1_CoV_module1","cor0400",-81,"-81: does not apply, I was not gainfully employed","-81: Trifft nicht zu, ich war nicht erwerbstaetig."
"twinlife","cov1_CoV_module1","cor0400",1,"1: -3 (significantly less)","1: -3 (Deutlich weniger)"
"twinlife","cov1_CoV_module1","cor0400",2,"2: -2","2: -2"
"twinlife","cov1_CoV_module1","cor0400",3,"3: -1","3: -1"
"twinlife","cov1_CoV_module1","cor0400",4,"4: 0 (same)","4: 0 (Gleich)"
"twinlife","cov1_CoV_module1","cor0400",5,"5: +1","5: +1"
"twinlife","cov1_CoV_module1","cor0400",6,"6: +2","6: +2"
"twinlife","cov1_CoV_module1","cor0400",7,"7: +3 (significantly more)","7: +3 (Deutlich mehr)"
"twinlife","cov1_CoV_module1","cor0500",-81,"-81: does not apply, I was not employed.","-81: Trifft nicht zu, ich war nicht erwerbstaetig."
"twinlife","cov1_CoV_module1","cor0500",1,"1: income increased","1: Einkommen gestiegen"
"twinlife","cov1_CoV_module1","cor0500",2,"2: income decreased","2: Einkommen gesunken"
"twinlife","cov1_CoV_module1","cor0500",3,"3: income remained unchanged","3: Einkommen unveraendert geblieben"
"twinlife","cov1_CoV_module1","cor0700",-81,"-81: does not apply (I do not have a school-age child/no chores had to be done at home)","-81: Trifft nicht zu (ich habe kein schulpflichtiges Kind/es mussten keine Aufgaben zu Hause erledigt werden)"
"twinlife","cov1_CoV_module1","cor0700",1,"1: less than half an hour","1: weniger als eine halbe Stunde"
"twinlife","cov1_CoV_module1","cor0700",2,"2: half an hour to 1 hour","2: eine halbe bis 1 Stunde"
"twinlife","cov1_CoV_module1","cor0700",3,"3: 1 to 2 hours","3: 1 bis 2 Stunden"
"twinlife","cov1_CoV_module1","cor0700",4,"4: 2 to 3 hours","4: 2 bis 3 Stunden"
"twinlife","cov1_CoV_module1","cor0700",5,"5: 3 to 4 hours","5: 3 bis 4 Stunden"
"twinlife","cov1_CoV_module1","cor0700",6,"6: more than 4 hours","6: mehr als 4 Stunden"
"twinlife","cov1_CoV_module1","cor0701",-81,"-81: does not apply (I had no schoolwork to do)","-81: Trifft nicht zu (ich hatte keine Schulaufgaben auf)"
"twinlife","cov1_CoV_module1","cor0701",1,"1: less than half an hour","1: weniger als eine halbe Stunde"
"twinlife","cov1_CoV_module1","cor0701",2,"2: half an hour to 1 hour","2: eine halbe bis 1 Stunde"
