study,dataset,name,concept,description,description_de
"twinlife","ZA6701_person_cov1_v7-0-0","age0100","age0100","**age0100** gives the age in years to the nearest month at the time of the family questionnaire. This means that the actual date of birth was set to the first day of the month and then the age was calculated. For reasons of data protection, the age in years to the day on the date of the family questionnaire (without change of the day of birth, as in **age0110**) cannot be released in the scientific use file. However, **age0110** is used to filter the questions. In most cases, **age0100** and **age0110** are identical. All age variables are based on the respondent's date of birth. This specification can be corrected by the respondent in each wave and is plausibilized longitudinally for further data processing. In the case of inconsistencies in an individual's date of birth, the most frequently given date of birth is used. If two dates of birth are equally frequent, the most recent is taken.Note that **age0100** in Cov3 is the age at the time of the individual questionnaire, as no family questionnaire is available in the Corona supplement.",""
"twinlife","ZA6701_person_cov1_v7-0-0","age0101","age0101","**age0101** gives the age in months at the time of the family questionnaire, rounded up to the nearest month. This means that the actual date of birth was set to the first day of the month and then the age in months was calculated. All age variables are based on the date of birth given by the respondent. This specification can be corrected by the respondent in each wave and is plausibilized longitudinally for further data processing. In the case of inconsistencies in an individual's date of birth, the most frequently given date of birth is used. If two dates of birth are equally frequent, the most recent is taken.Note that **age0101** in Cov3 is the age at the time of the individual questionnaire, as no family questionnaire is available in the Corona supplement.",""
"twinlife","ZA6701_person_cov1_v7-0-0","age0200","age0200","**age0200** specifies the age in years at January 1st of the (main) survey year of the subsample. The survey year is defined uniformly for the entire subsample in each wave, although in reality it may differ across families (see variable **yea_fq**). The defined survey years are: F2F 1 subsample a: 2015; F2F 1 subsample b: 2016; CATI 1a: 2016; CATI 1b: 2017; F2F 2a: 2017; F2F 2b: 2018; CATI 2a: 2018; CATI 2b: 2019. All age variables are based on the date of birth provided by the respondent. The specification can be corrected by the respondent in each wave and is plausibilized longitudinally for further data processing. In cases of inconsistent birth date information of an individual, the the most frequently cited date of birth is adopted. If two dates of birth were mentioned equally often, the latest specification is adopted.",""
"twinlife","ZA6701_person_cov1_v7-0-0","age0201","age0201","**age0201** specifies the age in months at January 1st of the (main) survey year of the subsample. The survey year is defined uniformly for the entire subsample in each wave, although in reality it may differ across families (see variable **yea_fq**). The defined survey years are: F2F 1 subsample a: 2015; F2F 1 subsample b: 2016; CATI 1a: 2016; CATI 1b: 2017; F2F 2a: 2017; F2F 2b: 2018; CATI 2a: 2018; CATI 2b: 2019. All age variables are based on the date of birth provided by the respondent. The specification can be corrected by the respondent in each wave and is plausibilized longitudinally for further data processing. In cases of inconsistent birth date information of an individual, the the most frequently cited date of birth is adopted. If two dates of birth were mentioned equally often, the latest specification is adopted.",""
"twinlife","ZA6701_person_cov1_v7-0-0","age0400","age0400","**age0400** is specified as the age in years prior to the start of the CoV1 survey, which is defined as June 1st 2020.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cgr","cgr","",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0001","cor0001","",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0101","cor0101","Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf)",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0102","cor0102","Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf)",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0200","cor0200","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0201","cor0201","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0202","cor0202","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0203","cor0203","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0204","cor0204","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0300","cor0300","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0301","cor0301","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0302","cor0302","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0303","cor0303","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0304","cor0304","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0305","cor0305","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0306","cor0306","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0307","cor0307","Item developed for TwinLife.",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0400","cor0400","Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf)",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0401","cor0401","Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf)",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0402","cor0402","Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf)",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0403","cor0403","Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf)",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0500","cor0500","Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf)",""
"twinlife","ZA6701_person_cov1_v7-0-0","cor0600","cor0600","Item developed for TwinLife.",""
