study,name,label,label_de,description,description_de,analysis_unit,period
"twinlife","wid1_F2F1_module1","F2F 1: family protocol (CAPI)","","This questionnaire module contains questions on: characteristics of family members (name, age, gender of twins; name, age, gender and relation to twins of siblings and parents who don't live in household; partners of twins).","","family",1
"twinlife","wid1_F2F1_module2","F2F 1: household questionnaire (CAPI)","","This questionnaire module contains questions on: educational and employment status of all household members (employment / education / vocational training / parental leave / pension); interviewer ratings on the home environment (household); welfare dependency.","","household",1
"twinlife","wid1_F2F1_module3","F2F 1: zygosity questionnaire for cohorts 1 & 2 (CAPI)","","This questionnaire module contains questions on: zygosity.","","individual",1
"twinlife","wid1_F2F1_module4","F2F 1: zygosity questionnaire for cohorts 3 & 4 (CAPI)","","This questionnaire module contains questions on: zygosity.","","individual",1
"twinlife","wid1_F2F1_module5","F2F 1: basic module (CAPI)","","This questionnaire module contains questions on: academic self concept: anticipated self-perceived ability; academic self concept: general self-perceived ability; academic self concept: self-perceived ability in math and German; academic self concept: self-perceived job ability; academic self-concept: verbal and spatial skill (preschool); achievement motivation in general; achievement motivation in school; after-school job; anticipated intrinsic motivation; anticipated learning motivation; commuting; current employment; desired school-leaving qualification; deviant behavior young children (e.g. lying/cheating, fighting with other children); expected probability to attain a degree; history of education and graduation: educational degrees, vocational training, year abroad; history of education and graduation: skipping/repeating a grade; intrinsic motivation for math and German; intrinsic motivation for school in general; involvement of (step-) parents (expectations, support, encouragement and punishment); job learning motivation; learning motivation for school in general; occupational status; parenting style of mother, father, partner of father, partner of mother (child report); partnership and marital status; perceived income equity; perceived job security and satisfaction; previous employment; recommendation for secondary education; required qualification for occupation; twin relationship: warmth, conflict, affection, hostility, rivalry; twin-specific questions for parents (e.g., dress twins alike); type of education / training; current status of education / qualification; wages, income; working time; year of immigration, country of birth, residential status, language spoken at home.","","individual",1
"twinlife","wid1_F2F1_module6","F2F 1: sensitive personal information (CASI)","","This questionnaire module contains questions on: academic self concept: anticipated self-perceived ability; achievement motivation in general; achievement motivation in school; anticipated intrinsic motivation; desired school-leaving qualification; domain-specific satisfaction (health, work/school, income/pocket money, leisure time, family life, partnership, friendships); existence of grandparents and frequency of meetings; expected probability to attain a degree; freetime and cultural activities with family members (parental report); freetime and cultural activities with family members (self-report); housing characteristics; long/short version of deviant-delinquent behaviour measure; occurence of externalising problem behavior (e.g. being restless and easily distracted, having tantrums, lying and cheating); occurence of internalising problem behavior (e.g. headaches and nausea, nervousness, and being easily scared); parenting style of mother, father, partner of father, partner of mother (child report); parenting style of mother, father, partner of father, partner of mother (parental self-report); patience; perceived self-efficacy; personality measures (BIG5); quality of familial environment (existence of bedtime routine, general atmosphere at home); risk aversion; satisfaction with sibling relationship; self esteem; twin relationship: warmth, conflict, affection, hostility, rivalry; twin-specific questions for siblings (e.g. relationship of the twins); twin-specific questions for twins themselves (e.g. relationship to other twin).","","individual",1
"twinlife","wid1_F2F1_module7","F2F 1: less sensitive information (CASI)","","This questionnaire module contains questions on: alcohol consumption; current subjective health; diagnoses (adults and children); doctor's visit; global life satisfaction; heigth, weight, bmi; impairment caused by diseases; medication; political activity, political interest, party identification; preventive medical checkup; smoking; social capital of individuals, e.g., close friends, frequency of social contacts, loneliness; social participation: frequency of attendance in sports clubs, theatre, music groups or volunteer organizations; use of electronic media devices (time spent with, e.g., computer, internet, etc.), rules for media use.","","individual",1
"twinlife","wid1_F2F1_module8","F2F 1: less sensitive information (PAPI)","","This questionnaire module contains questions on: alcohol consumption; current subjective health; diagnoses (adults and children); doctor's visit; global life satisfaction; heigth, weight, bmi; impairment caused by diseases; medication; political activity, political interest, party identification; preventive medical checkup; smoking; social capital of individuals, e.g., close friends, frequency of social contacts, loneliness; social participation: frequency of attendance in sports clubs, theatre, music groups or volunteer organizations; use of electronic media devices (time spent with, e.g., computer, internet, etc.), rules for media use.","","individual",1
"twinlife","wid1_F2F1_module9","F2F 1: child care (PAPI)","","This questionnaire module contains questions on: characteristics of childcare institution and group; childcare from age 0 to 6 (institutional childcare, private arrangements); extracurricular activities (e.g., early music education, drawing, etc.); history of education and graduation: skipping/repeating a grade; kindergarten (structure, concept); parental report: extracurricular activities (e.g., help with homework, remedial groups, leisure activites, etc.); recommendation for secondary education; twins in same childcare institution; twins in same institution or school; type of education / training; current status of education / qualification.","","individual",1
"twinlife","wid1_F2F1_module10","F2F 1: parents on children (CAPI)","","This questionnaire module contains questions on: competence rating of social skills, oral skills, concentration ability, communications skills, mathematic ability, general knowledge; current subjective health; diagnoses (adults and children); doctor's visit; existence of grandparents and frequency of meetings; heigth, weight, bmi; impairment caused by diseases; medication; occurence of externalising problem behavior (e.g. being restless and easily distracted, having tantrums, lying and cheating); occurence of internalising problem behavior (e.g. headaches and nausea, nervousness, and being easily scared); patience; personality measures (BIG5); risk aversion; self esteem; social capital of individuals, e.g., close friends, frequency of social contacts, loneliness; social participation: frequency of attendance in sports clubs, theatre, music groups or volunteer organizations; use of electronic media devices (time spent with, e.g., computer, internet, etc.), rules for media use; year of immigration, country of birth, residential status, language spoken at home.","","individual",1
