study,instrument,name,item,text,text_de,answer_list,instruction,instruction_de,description,description_de,filter,goto,concept,scale,number
twinlife,cov1_CoV_module1,cor0101,1,Has anyone in your household ever been infected with coronavirus?,War in Ihrem Haushalt schon einmal jemand am Coronavirus erkrankt?,cor0101,,,Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),,,cor0101,cat,1
twinlife,cov1_CoV_module1,cor0102,1,Has your household been quarantined since the outbreak of the COVID-19 pandemic in Germany?,"Wurde Ihr Haushalt seit Ausbruch der Corona-Pandemie in Deutschland schon einmal unter Quarantaene gestellt?
",yn,,,Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),,,cor0102,cat,2
twinlife,cov1_CoV_module1,cor0200,0,"[ITEMBAT] Thinking about the first period of the COVID-19 crisis, i.e., from March 2020 until the first easing, which of the following statements apply to your health status?","[ITEMBAT] Wenn Sie an die erste Zeit der Corona-Krise, d.h. seit Maerz 2020 bis zu den ersten Lockerungen, denken: Welche der folgenden Aussagen treffen auf Ihren Gesundheitszustand zu?

",,,,Item developed for TwinLife.,Item developed for TwinLife.,age0400 >=16,,cor0200,txt,3
twinlife,cov1_CoV_module1,cor0200,1,My general health has deteriorated.,Meine allgemeine Gesundheit hat sich verschlechtert.,apl7_1,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0200,cat,4
twinlife,cov1_CoV_module1,cor0200,2,Diseases I have suffered from before have worsened.,"Krankheiten, an denen ich bereits vorher gelitten habe, haben sich verschlechtert.",apl7_1,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0200,cat,5
twinlife,cov1_CoV_module1,cor0200,3,I have avoided regular preventive medical checkups.,Ich habe regelmaessige Vorsorgeuntersuchungen vermieden.,apl7_1,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0200,cat,6
twinlife,cov1_CoV_module1,cor0200,4,I have avoided doctor visits for acute illnesses.,Ich habe Arztbesuche bei akuten Erkrankungen vermieden.,apl7_1,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0200,cat,7
twinlife,cov1_CoV_module1,cor0200,5,A necessary surgery had to be postponed.,Eine notwendige Operation musste verschoben werden.,apl7_1,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0200,cat,8
twinlife,cov1_CoV_module1,cor0300,0,"[ITEMBAT] [If age >= 16] The COVID-19 pandemic and its aftermath has affected people's work situations in many ways. What applied to you during the initial period of the COVID-19 pandemic, i.e., from March 2020 until the first easing? [If age = 15] The COVID-19 pandemic and its aftermath affected people's education and work situation in many ways. What happened to you during the initial period of the COVID-19 pandemic, i.e., from March 2020 until the first relaxations?","[ITEMBAT] [If age >= 16] Die Corona-Pandemie und ihre Folgen hat sich in vielen Bereichen auf die Arbeitssituation der Menschen ausgewirkt. Was traf in der ersten Zeit der Corona-Pandemie, d.h. seit Maerz 2020 bis zu den ersten Lockerungen, auf Sie zu? [If age = 15] Die Corona-Pandemie und ihre Folgen hat sich in vielen Bereichen auf die Ausbildungs- und Arbeitssituation der Menschen ausgewirkt. Was traf in der ersten Zeit der Corona-Pandemie, d.h. seit Maerz 2020 bis zu den ersten Lockerungen, auf dich zu?",,,,Item developed for TwinLife.,Item developed for TwinLife.,age0400 >=15,,cor0300,txt,9
twinlife,cov1_CoV_module1,cor0300,1,[age >= 15] My training/study period has been extended.,[age >= 15] Meine Ausbildungs-/Studienzeit hat sich verlaengert.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,10
twinlife,cov1_CoV_module1,cor0300,2,[age >= 15] I have lost my apprenticeship.,[age >= 15] Ich habe meinen Ausbildungsplatz verloren.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,11
twinlife,cov1_CoV_module1,cor0300,3,[age >= 16] I have lost my job.,[age >= 16] Ich habe meine Arbeit verloren.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,12
twinlife,cov1_CoV_module1,cor0300,4,[age >= 18] I had to give up my business.,[age >= 18] Ich musste meinen Betrieb aufgeben.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,13
twinlife,cov1_CoV_module1,cor0300,5,[age >= 18] My business was threatened in its existence.,[age >= 18] Mein Betrieb war in der Existenz bedroht.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,14
twinlife,cov1_CoV_module1,cor0300,6,[age >= 16] I was on short-time work.,[age >= 16] Ich befand mich in Kurzarbeit.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,15
twinlife,cov1_CoV_module1,cor0300,7,[age >= 16] I had to change my occupation.,[age >= 16] Ich musste meine berufliche Taetigkeit wechseln.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,16
twinlife,cov1_CoV_module1,cor0300,8,[age >= 16] I took up another occupation.,[age >= 16] Ich habe eine weitere Beschaeftigung aufgenommen.,cor0300,,,Item developed for TwinLife.,Item developed for TwinLife.,,,cor0300,cat,17
twinlife,cov1_CoV_module1,cor0400,1,I worked from home,Ich arbeitete von zu Hause (Homeoffice),cor0400,,,Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),,,cor0400,cat,18
twinlife,cov1_CoV_module1,cor0401,0,"[ITEMBAT] If you think about the first period of the COVID-19 pandemic, that is, from March 2020 until the first relaxations: To what extent had your work situation changed compared to before the COVID-19 pandemic?  You can grade your answers from -3 (Significantly less) to 0 (Same) to +3 (Significantly more).","[ITEMBAT] Wenn Sie an die erste Zeit der Corona-Pandemie, d.h. seit Maerz 2020 bis zu den ersten Lockerungen, denken: Inwieweit hatte sich Ihre Arbeitssituation im Vergleich zu vor der Corona-Pandemie veraendert? 
Sie koennen Ihre Antworten von -3 (Deutlich weniger) ueber 0 (Gleich) bis +3 (Deutlich mehr) abstufen.",,,,Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),age0400 >=16 & cor0400 !=-81,,cor0401,txt,19
twinlife,cov1_CoV_module1,cor0401,1,I worked overtime,Ich machte Ueberstunden,cor0400,,,Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),,,cor0401,cat,20
twinlife,cov1_CoV_module1,cor0401,2,I had flexible working hours,Ich hatte flexible Arbeitszeiten,cor0400,,,Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),,,cor0401,cat,21
twinlife,cov1_CoV_module1,cor0401,3,The scope of my employment was ...,Der Umfang meiner Beschaeftigung war ...,cor0400,,,Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),Source: Adapted from: SOEP Group. (2022). SOEP-Core-2020: Corona (SOEP Survey Papers No. 1112; Series A - Survey Instruments (Erhebungsinstrumente)). DIW Berlin/SOEP. [[URL link]](https://www.diw.de/documents/publikationen/73/diw_01.c.842615.de/diw_ssp1112.pdf),,,cor0401,cat,22
